Day,T_ext,Solar_irrad,T_imp,BC1_power,BC2_power,Diff_temp,Hours_sin,Hours_cos,T_ret,T_ret_in_1h
0,23.112000274658207,35.4,11.00999755859375,37.5,50.580000000000005,-2.3440063476562507,0.9659258262890683,0.25881904510252074,13.35400390625,11.19200439453125
0,23.090000152587894,37.8,10.552001953125,33.4,44.64,-2.1640014648437518,0.9659258262890683,0.25881904510252074,12.716003417968752,11.214007568359374
0,23.07999992370606,40.6,10.208007812499998,29.240000000000002,38.89,-1.9999938964843782,0.9659258262890683,0.25881904510252074,12.208001708984376,11.230010986328125
0,23.069999694824222,44.2,10.088012695312498,25.16,33.17,-1.8209899902343771,0.9659258262890683,0.25881904510252074,11.909002685546875,11.245016479492188
0,23.069999694824222,47.60000000000001,9.948016357421873,23.17,30.340000000000003,-1.764990234375004,0.9659258262890683,0.25881904510252074,11.713006591796876,11.273019409179689
0,23.069999694824222,51.20000000000001,9.796014404296875,21.2,27.67,-1.7189880371093764,0.9659258262890683,0.25881904510252074,11.515002441406251,11.291018676757814
0,23.069999694824222,54.800000000000004,9.680010986328126,19.21,27.85,-1.7029907226562475,0.9659258262890683,0.25881904510252074,11.383001708984374,11.279013061523438
0,23.07999992370606,58.4,9.576007080078126,17.47,27.85,-1.6729980468749996,0.9659258262890683,0.25881904510252074,11.249005126953126,11.297012329101562
0,23.10200004577637,61.60000000000001,9.49200439453125,15.72,27.880000000000003,-1.6400024414062493,0.9659258262890683,0.25881904510252074,11.1320068359375,11.306011962890626
0,23.12400016784668,65.6,9.44000244140625,14.0,27.92,-1.5940002441406254,0.9659258262890683,0.25881904510252074,11.034002685546875,11.306011962890626
0,23.158000183105468,69.4,9.422003173828124,12.26,27.960000000000004,-1.5440002441406264,0.9659258262890683,0.25881904510252074,10.96600341796875,11.32401123046875
0,23.202000427246094,73.2,9.4800048828125,12.49,27.980000000000004,-1.427996826171876,0.9659258262890683,0.25881904510252074,10.908001708984376,11.372015380859375
0,23.25800018310547,77.4,9.520007324218751,12.48,27.980000000000004,-1.3359924316406246,0.9659258262890683,0.25881904510252074,10.855999755859376,11.3900146484375
0,23.324000167846684,81.60000000000001,9.590008544921876,12.49,27.96,-1.2559875488281254,0.9659258262890683,0.25881904510252074,10.845996093750001,11.411013793945314
0,23.412000274658205,85.8,9.660009765625002,12.48,27.939999999999998,-1.2139892578125,0.9659258262890683,0.25881904510252074,10.873999023437502,11.435012817382812
0,23.512000274658206,90.4,9.748010253906251,12.47,27.89,-1.147991943359374,0.9659258262890683,0.25881904510252074,10.896002197265625,11.463009643554688
0,23.634000015258792,95.0,9.800006103515626,12.47,27.869999999999997,-1.117999267578126,0.9659258262890683,0.25881904510252074,10.918005371093752,11.467007446289061
0,23.756000137329103,99.6,9.824005126953125,12.46,27.880000000000003,-1.1640014648437518,0.9659258262890683,0.25881904510252074,10.988006591796877,11.471005249023436
0,23.890000152587895,104.39999999999999,9.84400634765625,12.48,27.85,-1.1750030517578125,0.9659258262890683,0.25881904510252074,11.019009399414063,11.484002685546876
0,24.00200004577637,109.0,9.878009033203126,12.48,27.83,-1.135000610351561,0.9659258262890683,0.25881904510252074,11.013009643554687,11.505999755859374
0,24.090000152587898,113.2,9.92401123046875,12.48,27.870000000000005,-1.1009979248046875,0.9659258262890683,0.25881904510252074,11.025009155273438,11.529998779296875
0,24.136000061035162,118.0,9.914013671875,12.47,27.89,-1.1649932861328107,0.9659258262890683,0.25881904510252074,11.079006958007811,11.565997314453126
0,24.147999954223636,122.60000000000002,9.948010253906249,12.47,27.890000000000004,-1.1189971923828157,0.9659258262890683,0.25881904510252074,11.067007446289065,11.629998779296876
0,24.125999832153322,127.20000000000002,9.980010986328125,12.46,27.940000000000005,-1.0839965820312507,0.9659258262890683,0.25881904510252074,11.064007568359376,11.6719970703125
0,24.103999710083013,132.4,9.964007568359374,12.46,27.980000000000004,-1.1359985351562525,0.9659258262890683,0.25881904510252074,11.100006103515627,11.71400146484375
0,24.0819995880127,137.4,9.964007568359376,12.440000000000001,27.950000000000003,-1.1359985351562525,0.9659258262890683,0.25881904510252074,11.100006103515629,11.760003662109376
0,24.0819995880127,143.0,9.97000732421875,12.46,27.93,-1.1239990234375021,0.9659258262890683,0.25881904510252074,11.094006347656252,11.806005859375
0,24.11599960327149,149.0,9.97000732421875,12.49,27.97,-1.1539978027343771,0.9659258262890683,0.25881904510252074,11.124005126953127,11.836004638671875
0,24.181999588012697,155.0,9.964007568359374,12.49,27.97,-1.1939941406250014,0.9659258262890683,0.25881904510252074,11.158001708984376,11.896008300781249
0,24.281999588012695,160.60000000000002,9.974005126953124,12.49,27.950000000000003,-1.1779968261718778,0.9659258262890683,0.25881904510252074,11.152001953125001,11.964007568359374
0,24.415999603271487,167.0,9.986004638671876,12.52,27.970000000000006,-1.2059997558593736,1.0,6.123233995736766e-17,11.19200439453125,12.016009521484374
0,24.569999694824222,172.39999999999998,10.02000732421875,12.54,28.0,-1.194000244140625,1.0,6.123233995736766e-17,11.214007568359374,12.074011230468752
0,24.74799957275391,177.6,10.05001220703125,12.54,28.01,-1.1799987792968754,1.0,6.123233995736766e-17,11.230010986328125,12.142010498046877
0,24.937999725341797,182.79999999999998,10.059011840820311,12.549999999999999,27.990000000000002,-1.1860046386718768,1.0,6.123233995736766e-17,11.245016479492188,12.202008056640627
0,25.12799987792969,188.4,10.071017456054689,12.56,28.030000000000005,-1.2020019531250004,1.0,6.123233995736766e-17,11.273019409179689,12.242004394531252
