size,disp,std,centroid_std,som_size,unused_som
250,2,0.579487254,0.262361634,14,24.48979592
250,2,0.578491594,0.283815569,15,26.22222222
250,2,0.572609405,0.281108482,16,31.25
250,2,0.570005611,0.280872813,17,39.79238754
250,2,0.576164532,0.278768814,18,41.35802469
250,2,0.570665124,0.280772183,19,44.59833795
250,2,0.590351086,0.281876256,20,49
250,2,0.576733206,0.281770296,21,51.24716553
250,2,0.566113368,0.269381588,22,53.09917355
250,2,0.579519426,0.271492426,23,56.71077505
250,2,0.570244983,0.281396754,24,59.89583333
250,2,0.588729476,0.261172628,25,63.84
250,2,0.572492107,0.266679336,26,65.0887574
250,2,0.56761695,0.265930332,27,67.76406036
250,2,0.589058527,0.273710801,28,69.51530612
250,3,0.866133493,0.415542468,3,0
250,3,0.898199761,0.434467483,4,0
250,3,0.872265747,0.401524277,5,0
250,3,0.84586709,0.425929486,6,0
250,3,0.867492361,0.439038261,7,0
250,3,0.866483113,0.426905376,8,0
250,3,0.886839951,0.381479587,9,0
250,3,0.863419021,0.402686944,10,4
250,3,0.860011815,0.410026367,11,9.917355372
250,3,0.849233674,0.427029777,12,11.80555556
250,3,0.857409193,0.414175355,13,16.56804734
250,3,0.884394141,0.411132379,14,20.91836735
250,3,0.851415779,0.412120856,15,24.88888889
250,3,0.873166992,0.381255422,16,31.25
250,3,0.891691428,0.389993013,17,33.9100346
250,3,0.884642041,0.416812706,18,40.43209877
250,3,0.844841711,0.416851135,19,44.87534626
250,3,0.866660253,0.443847776,20,48.5
250,3,0.891657344,0.446420337,21,50.34013605
250,3,0.884557666,0.428317756,22,55.5785124
250,3,0.882949561,0.370556433,23,58.22306238
250,3,0.868294689,0.419604424,24,61.97916667
250,3,0.837959428,0.421363868,25,62.56
250,3,0.862968297,0.410285603,26,65.38461538
250,3,0.843329256,0.420687832,27,66.66666667
250,3,0.851630624,0.410072103,28,69.51530612
250,4,1.136203229,0.527189509,3,0
250,4,1.12792809,0.554861607,4,0
250,4,1.139962866,0.53267449,5,0
250,4,1.149823969,0.548621581,6,0
250,4,1.133736806,0.540768484,7,2.040816327
250,4,1.171637021,0.498339073,8,3.125
250,4,1.143088193,0.537233784,9,4.938271605
250,4,1.111510939,0.574576353,10,6
250,4,1.144616007,0.548646802,11,7.438016529
250,4,1.161819459,0.589595949,12,15.97222222
250,4,1.137601466,0.529479921,13,21.30177515
250,4,1.1502304,0.562933784,14,21.42857143
250,4,1.169847175,0.583935546,15,28
250,4,1.148110134,0.58699457,16,32.03125
250,4,1.168254929,0.571421663,17,33.9100346
250,4,1.152881488,0.56706704,18,39.50617284
250,4,1.162619123,0.552322256,19,44.04432133
250,4,1.128673912,0.561033476,20,46.75
250,4,1.141223313,0.553006738,21,53.7414966
250,4,1.169205087,0.559886248,22,52.47933884
250,4,1.148802771,0.573964707,23,57.08884688
250,4,1.15300277,0.580334136,24,60.24305556
250,4,1.150348991,0.577797684,25,63.36
250,4,1.159172815,0.554103882,26,64.49704142
250,4,1.148598222,0.542510946,27,67.0781893
250,4,1.17029286,0.574500364,28,69.51530612
500,0.25,0.071665289,0.035717274,3,0
500,0.25,0.072326171,0.034136959,4,0
500,0.25,0.07232943,0.034969667,5,0
500,0.25,0.072195823,0.033829512,6,0
500,0.25,0.0715785,0.035760139,7,0
500,0.25,0.072969475,0.036182224,8,0
500,0.25,0.073212179,0.034814522,9,0
500,0.25,0.073147237,0.031772725,10,0
500,0.25,0.071446357,0.03515127,11,1.652892562
500,0.25,0.071982345,0.035912082,12,1.388888889
500,0.25,0.072424222,0.03576799,13,4.733727811
500,0.25,0.071892512,0.037343544,14,8.163265306
500,0.25,0.071847983,0.036174449,15,4
500,0.25,0.072677787,0.034911705,16,12.109375
500,0.25,0.072949781,0.033051512,17,13.49480969
500,0.25,0.070529204,0.034979,18,13.58024691
500,0.25,0.072989753,0.033177323,19,21.05263158
500,0.25,0.071613435,0.03548925,20,21.25
500,0.25,0.072141345,0.035171747,21,26.53061224
500,0.25,0.071938797,0.036648918,22,29.33884298
500,0.25,0.07036047,0.035644106,23,30.05671078
500,0.25,0.072669166,0.033503704,24,36.11111111
500,0.25,0.071656253,0.035630505,25,40.64
500,0.25,0.071020815,0.03540392,26,42.89940828
500,0.25,0.072243386,0.035885372,27,43.62139918
500,0.25,0.073038435,0.034049983,28,48.97959184
500,0.5,0.141614424,0.069844393,3,0
500,0.5,0.141741839,0.06861304,4,0
500,0.5,0.145768803,0.070219338,5,0
500,0.5,0.141966315,0.073875622,6,0
500,0.5,0.145383643,0.071003103,7,0
500,0.5,0.144351663,0.067338805,8,0
500,0.5,0.142993835,0.06925373,9,1.234567901
500,0.5,0.145349828,0.069847821,10,1
500,0.5,0.144476737,0.069337627,11,2.479338843
500,0.5,0.145952894,0.068387581,12,0.694444444
500,0.5,0.145515113,0.073665298,13,2.366863905
500,0.5,0.144352459,0.068257059,14,4.081632653
500,0.5,0.143832546,0.067331497,15,8.888888889
500,0.5,0.142821034,0.066134539,16,8.59375
500,0.5,0.144412479,0.068100624,17,14.18685121
500,0.5,0.143080938,0.06946817,18,12.65432099
500,0.5,0.143560178,0.069076725,19,17.17451524
500,0.5,0.145658277,0.073798141,20,23.5
500,0.5,0.144430687,0.068592819,21,25.85034014
500,0.5,0.145369174,0.072066856,22,27.89256198
500,0.5,0.144222854,0.069091103,23,33.27032136
500,0.5,0.146662572,0.070235529,24,34.89583333
500,0.5,0.141997458,0.070323836,25,40.16
500,0.5,0.144495,0.073104945,26,43.49112426
500,0.5,0.145453774,0.068869935,27,44.30727023
500,0.5,0.145225372,0.072176037,28,49.10714286
500,1,0.292737778,0.137104375,3,0
500,1,0.291019556,0.137049797,4,0
500,1,0.290980254,0.139362923,5,0
500,1,0.288078497,0.135168803,6,0
500,1,0.291907361,0.138375001,7,0
500,1,0.293131109,0.140064913,8,0
500,1,0.292446681,0.137710737,9,0
500,1,0.286956399,0.140991255,10,1
500,1,0.289427166,0.128433559,11,0.826446281
500,1,0.28914614,0.135006735,12,3.472222222
500,1,0.287624356,0.141121641,13,2.366863905
500,1,0.297833741,0.1391137,14,7.653061224
500,1,0.283416363,0.136576525,15,7.111111111
500,1,0.289223709,0.130824572,16,9.375
500,1,0.289166035,0.136434994,17,11.41868512
500,1,0.290057759,0.147441868,18,19.75308642
500,1,0.291504349,0.141335401,19,21.6066482
500,1,0.284747932,0.143420285,20,23.5
500,1,0.292776448,0.135361204,21,25.85034014
500,1,0.289800349,0.148909761,22,29.75206612
500,1,0.288376889,0.140516108,23,32.70321361
500,1,0.290146524,0.134002882,24,35.59027778
500,1,0.291244742,0.141818535,25,38.72
500,1,0.287375088,0.142165471,26,40.68047337
500,1,0.289177378,0.131741593,27,46.3648834
500,1,0.284337611,0.133415542,28,47.57653061
500,1.5,0.429314862,0.207428315,3,0
