datetime,T_ext,Solar_irrad,T_imp,BC1_power,BC2_power,Refr1_power,Refr2_power,BC1_flow,BC2_flow,Refr1_flow,Refr2_flow,T_ret
2022-05-13 12:00:00+00:00,24.399999618530277,874.0,9.8800048828125,3.05,16.5,15.7,0.25,2923.0,2476.0,0.0,3153.0,10.8699951171875
2022-05-13 12:02:00+00:00,24.350000381469727,875.0,9.94000244140625,3.1,16.4,15.75,0.3,2793.0,2476.0,0.0,3211.0,10.75
2022-05-13 12:04:00+00:00,24.51000022888184,875.0,9.94000244140625,3.05,16.4,15.55,0.25,2779.0,2505.0,0.0,3196.0,10.899993896484377
2022-05-13 12:06:00+00:00,24.6299991607666,870.0,9.990020751953123,3.1,16.45,15.65,0.3,2808.0,2491.0,0.0,3340.0,10.80999755859375
2022-05-13 12:08:00+00:00,24.56999969482422,868.0,10.1400146484375,3.1,16.65,15.8,0.25,2750.0,2476.0,0.0,3355.0,10.95001220703125
2022-05-13 12:10:00+00:00,24.56999969482422,870.0,10.1400146484375,3.1,16.45,15.6,0.25,2678.0,2520.0,0.0,3254.0,10.839996337890623
2022-05-13 12:12:00+00:00,24.6299991607666,874.0,10.170013427734377,3.1,16.45,15.75,0.25,2908.0,2376.0,0.0,3240.0,10.95001220703125
2022-05-13 12:14:00+00:00,24.68000030517578,861.0,10.20001220703125,3.1,16.45,15.6,0.25,2620.0,2592.0,0.0,3326.0,10.899993896484377
2022-05-13 12:16:00+00:00,24.68000030517578,856.0,10.230010986328123,3.1,16.6,15.8,0.25,2865.0,2534.0,0.0,3268.0,10.980010986328123
2022-05-13 12:18:00+00:00,24.51000022888184,856.0,10.260009765625,3.05,16.35,15.65,0.25,2560.0,2563.0,0.0,3419.0,10.980010986328123
2022-05-13 12:20:00+00:00,24.459999084472656,858.0,10.1400146484375,3.05,16.4,15.75,0.25,2664.0,2448.0,0.0,3283.0,11.07000732421875
2022-05-13 12:22:00+00:00,24.399999618530277,863.0,10.170013427734377,3.1,16.45,15.65,0.25,3009.0,2462.0,0.0,3182.0,11.010009765625
2022-05-13 12:24:00+00:00,24.350000381469727,863.0,10.32000732421875,3.05,16.45,15.6,0.25,2880.0,2433.0,0.0,3312.0,11.1300048828125
2022-05-13 12:26:00+00:00,24.1299991607666,865.0,10.20001220703125,3.05,16.35,15.75,0.25,2836.0,2476.0,0.0,3441.0,11.07000732421875
2022-05-13 12:28:00+00:00,24.1299991607666,860.0,10.230010986328123,3.05,16.75,15.75,0.25,2548.0,2491.0,0.0,3398.0,11.19000244140625
2022-05-13 12:30:00+00:00,24.06999969482422,858.0,10.32000732421875,3.05,16.25,15.6,0.25,2664.0,2476.0,0.0,3340.0,11.07000732421875
2022-05-13 12:32:00+00:00,24.1299991607666,854.0,10.350006103515623,3.05,16.4,15.6,0.25,2736.0,2476.0,0.0,3326.0,11.19000244140625
2022-05-13 12:34:00+00:00,24.01000022888184,854.0,10.230010986328123,3.05,16.3,15.8,0.25,2779.0,2491.0,0.0,3283.0,11.160003662109377
2022-05-13 12:36:00+00:00,24.1299991607666,853.0,10.3699951171875,3.05,16.5,15.9,0.25,2808.0,2534.0,0.0,3415.0,11.160003662109377
2022-05-13 12:38:00+00:00,24.01000022888184,854.0,10.290008544921877,3.05,16.65,15.8,0.25,2851.0,2448.0,0.0,3268.0,11.100006103515623
2022-05-13 12:40:00+00:00,24.06999969482422,860.0,10.290008544921877,3.05,16.55,15.75,0.3,2750.0,2491.0,0.0,3355.0,11.160003662109377
2022-05-13 12:42:00+00:00,24.239999771118164,849.0,10.459991455078123,3.05,16.4,15.75,0.25,2808.0,2433.0,0.0,3283.0,11.27001953125
2022-05-13 12:44:00+00:00,24.290000915527344,853.0,10.459991455078123,3.05,16.4,16.1,0.25,2721.0,2433.0,0.0,3367.0,11.27001953125
2022-05-13 12:46:00+00:00,24.290000915527344,853.0,10.3699951171875,3.05,16.75,15.75,0.25,2592.0,2505.0,0.0,3369.0,11.209991455078123
2022-05-13 12:48:00+00:00,24.399999618530277,847.0,10.52001953125,3.1,16.7,15.75,0.25,2707.0,2520.0,0.0,3297.0,11.360015869140623
2022-05-13 12:50:00+00:00,24.459999084472656,847.0,10.459991455078123,3.05,16.75,15.95,0.25,2649.0,2491.0,0.0,3124.0,11.300018310546877
2022-05-13 12:52:00+00:00,24.6299991607666,846.0,10.459991455078123,3.05,16.65,15.65,0.25,2937.0,2606.0,0.0,3312.0,11.33001708984375
2022-05-13 12:54:00+00:00,24.6299991607666,846.0,10.52001953125,3.05,16.5,15.85,0.25,2577.0,2606.0,0.0,3196.0,11.470001220703123
2022-05-13 12:56:00+00:00,24.56999969482422,840.0,10.660003662109377,3.05,16.65,15.7,0.25,2620.0,2534.0,0.0,3268.0,11.529998779296877
2022-05-13 12:58:00+00:00,24.56999969482422,840.0,10.58001708984375,3.05,16.6,15.95,0.3,2764.0,2462.0,0.0,3196.0,11.589996337890623
2022-05-13 13:00:00+00:00,24.399999618530277,842.0,10.660003662109377,10.25,16.25,15.7,0.25,2692.0,2433.0,0.0,3038.0,11.529998779296877
2022-05-13 13:02:00+00:00,24.1299991607666,833.0,10.490020751953123,12.95,16.7,15.8,0.25,2664.0,2448.0,0.0,3168.0,11.67999267578125
2022-05-13 13:04:00+00:00,24.18000030517578,831.0,10.52001953125,12.9,16.65,15.55,0.25,2923.0,2376.0,0.0,3369.0,11.649993896484377
2022-05-13 13:06:00+00:00,24.239999771118164,830.0,10.459991455078123,12.9,16.55,15.6,0.25,2908.0,2491.0,0.0,3283.0,11.529998779296877
